b,c,d,e,f,g,h,i,j,k,l,m,n,q,r,s,x,y,z,aa,bb,cc,dd,att
tcp,192.168.100.150,1611.0,192.168.100.7,80.0,4,616,REQ,1528083445.017966,124415,45.040371,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.066607,0.066607,0.0,1
udp,192.168.100.7,45454,192.168.159.152,53,2,176,INT,1526894796.421884,38309,5.0480480000000005,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198096,0.198096,0.0,0
udp,192.168.100.147,2372.0,192.168.100.3,80.0,20,1200,INT,1528086468.300448,19288,33.300514,3.726928,1.298209,22.361567,0.907824,4.756667,20,0,1200,0,0.570562,0.570562,0.0,1
udp,192.168.100.7,35383,192.168.159.152,53,2,176,INT,1526982472.6765358,35743,5.048211,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.19809000000000002,0.19809000000000002,0.0,0
udp,192.168.100.7,52445,192.168.159.152,53,2,176,INT,1526876712.4048884,35502,5.046901,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198141,0.198141,0.0,0
udp,192.168.100.150,4834,192.168.100.3,80,8,480,INT,1528099939.8697689,206191,24.458506,3.455749,1.997182,13.822995,0.0,4.7533400000000015,8,0,480,0,0.286199,0.286199,0.0,1
udp,192.168.100.148,45798,192.168.100.3,80,24,1440,INT,1528086949.912897,95889,24.200602,3.8193919999999997,0.84225,19.096957999999997,2.523152,4.604805000000002,24,0,1440,0,0.95039,0.95039,0.0,1
udp,192.168.100.7,365.0,192.168.100.3,565.0,14891,893460,INT,1526958614.4889214,6,1243.427612,4.927618,0.024730000000000002,1222.049194,4.905131,4.9999980000000015,14891,0,893460,0,11.974963,11.974963,0.0,0
arp,192.168.100.147,0,192.168.100.1,0,46,2760,CON,1526895935.0898778,2290,1888.761963,0.0001,2.9999999999999997e-05,0.002309,3.8e-05,0.000162,23,23,1380,1380,0.023825,0.011648,0.011648,0
tcp,192.168.100.3,41307.0,52.64.239.193,8883.0,10,6089,CON,1528096366.786968,114063,16.909014000000006,4.470738,0.075894,8.941476,4.394844,4.546632,5,5,5759,330,0.5322600000000001,0.23656,0.23656,0
udp,192.168.100.46,3456.0,192.168.100.5,80.0,2527,2458259,CON,1528099842.243278,1558,18.182009,4.536397,0.794434,18.145588,3.160416,4.998548,1265,1262,1200190,1258069,138.928543,69.519272,69.354271,0
udp,192.168.100.148,8166.0,192.168.100.7,80.0,2,120,INT,1528086207.468368,75177,4.757055,4.757055,0.0,4.757055,4.757055,4.757055,2,0,120,0,0.21021399999999998,0.21021399999999998,0.0,1
tcp,192.168.100.46,80,192.168.100.5,80,20570,19258451,CON,1528102077.352612,343,257.197205,4.933796,0.399125,256.557373,2.083525,4.999612,20570,0,19258451,0,79.973656,79.973656,0.0,0
tcp,192.168.100.147,19568.0,192.168.100.5,80.0,4,522,RST,1528096986.6022394,87193,8.353649,4.176825,0.215135,8.353649,3.96169,4.391959,3,1,462,60,0.359124,0.239416,0.0,1
tcp,192.168.100.149,7683.0,192.168.100.3,80.0,6,548,RST,1528082614.319799,252992,23.523149,0.150527,0.002397,0.301054,0.14812999999999998,0.152924,4,2,428,120,0.21255700000000002,0.12753399999999998,0.042511,1
udp,192.168.100.149,56968,8.8.8.8,53,2,203,CON,1526894461.781826,20408,0.143896,0.143896,0.0,0.143896,0.143896,0.143896,1,1,64,139,6.9494630000000015,0.0,0.0,0
udp,192.168.100.7,365.0,192.168.100.3,565.0,679,40740,INT,1528099741.125472,1099,17.047693,3.939843,1.790332,15.759372,0.839053,4.988107,679,0,40740,0,39.770775,39.770775,0.0,0
tcp,192.168.100.149,36933.0,192.168.100.5,80.0,2,308,REQ,1528096771.9248712,184469,4.311794,4.311794,0.0,4.311794,4.311794,4.311794,2,0,308,0,0.231922,0.231922,0.0,1
tcp,192.168.100.150,43403,192.168.100.7,80,3,462,REQ,1528083840.240699,27190,9.851519999999999,2.479302,2.479302,4.958605,0.0,4.958605,3,0,462,0,0.203014,0.203014,0.0,1
udp,192.168.100.148,36279,192.168.100.5,80,12,720,INT,1528100186.176356,108896,36.323009000000006,2.473401,1.895674,14.840404000000001,0.0,4.389206,12,0,720,0,0.302838,0.302838,0.0,1
udp,192.168.100.3,63945.0,205.251.194.167,53.0,2,366,CON,1528082199.255653,262166,0.234967,0.234967,0.0,0.234967,0.234967,0.234967,1,1,98,268,4.255917,0.0,0.0,0
udp,192.168.100.150,53653.0,27.124.125.251,123.0,2,180,CON,1528096149.191078,82615,0.159916,0.159916,0.0,0.159916,0.159916,0.159916,1,1,90,90,6.2532830000000015,0.0,0.0,0
udp,192.168.100.46,80,192.168.100.5,80,64,60251,INT,1526356450.0361972,4,2.997036,2.997036,0.0,2.997036,2.997036,2.997036,64,0,60251,0,21.020769,21.020769,0.0,0
tcp,192.168.100.148,13315.0,192.168.100.5,80.0,2,308,REQ,1528083022.2291381,221782,20.818239000000002,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.048035,0.048035,0.0,1
udp,192.168.100.46,3456,192.168.100.5,80,47676,48206249,CON,1526904643.377373,5,1135.2717289999996,4.954947,0.005121,1124.772827,4.953362,4.9999980000000015,23838,23838,24309478,23896771,41.99435,20.996735,20.996735,0
udp,192.168.100.149,31147,192.168.100.5,80,8,480,INT,1528085042.418625,37098,24.847775,3.3960839999999997,0.154033,13.584335999999999,3.243729,3.6464449999999995,8,0,480,0,0.281715,0.281715,0.0,1
udp,192.168.100.7,36663,192.168.159.152,53,2,176,INT,1526354185.4127688,14335,5.048311,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.19808599999999998,0.19808599999999998,0.0,0
udp,192.168.100.5,80.0,192.168.100.46,3456.0,7265,7066469,CON,1528084200.93731,1,45.416824,4.530499,1.374938,45.304984999999995,0.405684,4.991122,3633,3632,3617060,3449409,159.94073500000005,79.97036700000002,79.948349,0
udp,192.168.100.147,34575,192.168.100.7,80,4,240,INT,1528085142.040766,250556,13.604299,0.45576300000000003,0.644546,1.367289,0.0,1.367289,4,0,240,0,0.220519,0.220519,0.0,1
udp,192.168.100.148,43349,8.8.8.8,53,2,172,CON,1526894995.149981,42690,0.007389,0.007389,0.0,0.007389,0.007389,0.007389,1,1,86,86,135.336304,0.0,0.0,0
udp,192.168.100.148,50891,192.168.100.3,80,4,240,INT,1528087058.9164472,47279,10.803355999999999,3.4150199999999997,0.096226,6.8300399999999994,3.318794,3.511246,4,0,240,0,0.27769099999999997,0.27769099999999997,0.0,1
udp,192.168.100.150,32012.0,192.168.100.3,80.0,6,360,INT,1528099855.808551,254930,11.465796000000001,4.589176,0.007541,9.178352,4.581782,4.596571,6,0,360,0,0.43608,0.43608,0.0,1
udp,192.168.100.149,16544,192.168.100.3,80,9,540,INT,1528099491.584395,235952,13.713956,3.429898,0.007098,10.289694,3.4202730000000003,3.4373379999999996,9,0,540,0,0.5833470000000001,0.5833470000000001,0.0,1
udp,192.168.100.148,52420,192.168.100.5,80,9,540,INT,1528086701.503102,184225,37.043228000000006,1.761912,1.8062150000000001,10.571472,0.0,4.253019999999999,9,0,540,0,0.215964,0.215964,0.0,1
udp,192.168.100.147,26131,192.168.100.7,80,4,240,INT,1528101786.211206,153950,8.243653,2.652066,0.29489699999999996,5.304132,2.357169,2.946963,4,0,240,0,0.36391599999999996,0.36391599999999996,0.0,1
udp,192.168.100.7,48822,192.168.159.152,53,2,176,INT,1526895111.159087,55853,5.04571,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198188,0.198188,0.0,0
udp,192.168.100.6,138,192.168.100.255,138,4,1000,INT,1526964830.861196,728,2700.060059,0.0,0.0,0.0,0.0,0.0,4,0,1000,0,0.001111,0.001111,0.0,0
tcp,192.168.100.148,40273.0,192.168.100.3,80.0,2,308,REQ,1528095735.055638,143570,9.53317,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.104897,0.104897,0.0,1
tcp,192.168.100.6,80,192.168.100.3,80,6234,1845264,CON,1526953085.7602599,7,892.207031,4.874912999999999,0.021306,867.734558,4.860195,4.999946,6234,0,1845264,0,6.986047,6.986047,0.0,0
tcp,192.168.100.147,25995.0,192.168.100.6,80.0,4,616,REQ,1528097119.824215,54731,51.97752,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.057717,0.057717,0.0,1
tcp,192.168.100.149,17579.0,192.168.100.3,80.0,9,822,RST,1528082439.2826278,39435,51.323833,0.175037,0.015528,0.525112,0.163721,0.196994,6,3,642,180,0.155873,0.09742100000000001,0.038968,1
tcp,192.168.100.147,24905.0,192.168.100.5,80.0,8,1232,REQ,1528096615.854161,19600,24.315310999999998,3.108981,1.954965,12.435925,0.0,4.947173,8,0,1232,0,0.28788400000000003,0.28788400000000003,0.0,1
udp,192.168.100.3,32644,205.251.194.120,53,2,399,CON,1526352088.630559,5823,0.280823,0.280823,0.0,0.280823,0.280823,0.280823,1,1,99,300,3.5609620000000004,0.0,0.0,0
udp,192.168.100.149,16502,192.168.100.3,80,9,540,INT,1528099491.584363,235910,13.713947000000001,3.4298949999999997,0.007097,10.289686,3.420275,3.4373410000000004,9,0,540,0,0.583348,0.583348,0.0,1
udp,192.168.100.3,54147.0,205.251.198.239,53.0,2,467,CON,1528081824.45731,250013,0.231161,0.231161,0.0,0.231161,0.231161,0.231161,1,1,91,376,4.325989,0.0,0.0,0
tcp,192.168.100.150,15708.0,192.168.100.6,80.0,5,676,RST,1528097396.4589179,6081,52.427521,0.012684,0.02197,0.050738,0.0,0.050738,4,1,616,60,0.076296,0.057222,0.0,1
udp,192.168.100.7,50872,192.168.159.152,53,2,176,INT,1526895745.520973,18235,5.047242,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198128,0.198128,0.0,0
arp,192.168.100.1,0,192.168.100.27,0,2,120,CON,1526354988.447342,22674,0.00045,0.00045,0.0,0.00045,0.00045,0.00045,1,1,60,60,2222.222168,0.0,0.0,0
udp,192.168.100.149,48153,8.8.8.8,53,2,203,CON,1526894882.143611,38357,0.14271099999999998,0.14271099999999998,0.0,0.14271099999999998,0.14271099999999998,0.14271099999999998,1,1,64,139,7.007167999999999,0.0,0.0,0
udp,192.168.100.46,80,192.168.100.5,80,21651,20249871,INT,1526899846.6004698,2,1031.720825,4.9574,0.021181000000000002,1021.224487,4.906025,4.999999,21651,0,20249871,0,20.984360000000002,20.984360000000002,0.0,0
udp,192.168.100.7,57868,192.168.159.152,53,2,176,INT,1526964350.372761,33757,5.0419,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.19833800000000001,0.19833800000000001,0.0,0
udp,192.168.100.148,32939,192.168.217.2,53,2,172,INT,1526962553.009805,6007,2.501005,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399839,0.399839,0.0,0
tcp,192.168.100.147,18787.0,192.168.100.5,80.0,4,522,RST,1528096986.5613859,87098,8.375803999999999,4.187901999999999,0.21111300000000002,8.375803999999999,3.976789,4.399015,3,1,462,60,0.358175,0.238783,0.0,1
udp,192.168.100.7,43522,192.168.159.152,53,2,176,INT,1526965192.5909462,36520,5.047887,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198103,0.198103,0.0,0
udp,192.168.100.147,48682,192.168.217.2,53,2,172,INT,1526881057.292633,276015,2.5010060000000003,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399839,0.399839,0.0,0
udp,192.168.100.149,31143,192.168.100.5,80,8,480,INT,1528085042.418622,37094,24.847776,3.396085,0.154029,13.584341,3.24373,3.6464440000000002,8,0,480,0,0.281715,0.281715,0.0,1
udp,192.168.100.3,10538,96.7.49.66,53,2,333,CON,1526351815.348127,3661,0.315784,0.315784,0.0,0.315784,0.315784,0.315784,1,1,98,235,3.166722,0.0,0.0,0
udp,192.168.100.147,53967,192.168.100.6,80,2,120,INT,1528085953.375167,172427,4.144437,4.144437,0.0,4.144437,4.144437,4.144437,2,0,120,0,0.241287,0.241287,0.0,1
tcp,192.168.100.6,80,192.168.100.3,80,763,225848,CON,1528086497.9606,1363,29.214717999999998,4.83829,0.290772,29.029740999999998,4.188143,4.972512,763,0,225848,0,26.08274500000001,26.08274500000001,0.0,0
tcp,192.168.100.148,13275.0,192.168.100.5,80.0,3,368,RST,1528083022.229069,221762,20.818189999999998,0.079897,0.079897,0.15979300000000002,0.0,0.15979300000000002,2,1,308,60,0.09607,0.048035,0.0,1
udp,192.168.100.148,54440,8.8.8.8,53,2,172,CON,1526980522.132764,2497,0.007179000000000001,0.007179000000000001,0.0,0.007179000000000001,0.007179000000000001,0.007179000000000001,1,1,86,86,139.295166,0.0,0.0,0
udp,192.168.100.148,44312,192.168.217.2,53,2,172,INT,1526980518.124675,2373,2.5009799999999998,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399843,0.399843,0.0,0
tcp,192.168.100.147,24882.0,192.168.100.5,80.0,8,1232,REQ,1528096615.85414,19587,24.315304,3.1122330000000002,1.957413,12.448931,0.0,4.947164,8,0,1232,0,0.287885,0.287885,0.0,1
udp,192.168.100.149,10299.0,192.168.100.5,80.0,3,180,INT,1528100519.554818,11613,14.197503,2.2418419999999997,2.2418419999999997,4.483683,0.0,4.483683,3,0,180,0,0.14087,0.14087,0.0,1
tcp,192.168.100.150,5709.0,192.168.100.6,80.0,4,616,REQ,1528082858.578057,8240,58.922626,0.0,0.0,0.0,0.0,0.0,4,0,616,0,0.050914,0.050914,0.0,1
udp,192.168.100.150,61672.0,192.168.100.3,80.0,19,1140,INT,1528085537.100435,104593,27.180756,3.840822,1.1468040000000002,19.204113,1.6087360000000002,4.903041,19,0,1140,0,0.662233,0.662233,0.0,1
tcp,192.168.100.147,24826.0,192.168.100.5,80.0,8,1232,REQ,1528096615.854197,19560,24.315388000000002,3.109962,1.9556930000000001,12.439846000000001,0.0,4.947247,8,0,1232,0,0.28788400000000003,0.28788400000000003,0.0,1
tcp,192.168.100.149,7623.0,192.168.100.3,80.0,6,548,RST,1528082614.3198302,253022,23.52313,0.15048599999999998,0.002358,0.300973,0.148128,0.152845,4,2,428,120,0.21255700000000002,0.12753399999999998,0.042511,1
udp,192.168.100.149,47247,192.168.100.3,80,23,1380,INT,1528085762.303104,7629,21.447765,4.6363330000000005,0.46064099999999997,18.545332000000002,3.83866,4.912452,23,0,1380,0,1.0257479999999999,1.0257479999999999,0.0,1
tcp,192.168.100.149,17637.0,192.168.100.3,80.0,9,822,RST,1528082439.363349,39465,51.404509999999995,0.172311,0.011723,0.516932,0.163715,0.188886,6,3,642,180,0.155628,0.097268,0.038907,1
tcp,192.168.100.148,40339.0,192.168.100.3,80.0,2,308,REQ,1528095735.071813,143603,9.549294999999999,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.10472000000000001,0.10472000000000001,0.0,1
udp,192.168.100.147,39690,192.168.100.7,80,2,120,INT,1528101604.015552,202648,2.779418,2.779418,0.0,2.779418,2.779418,2.779418,2,0,120,0,0.359788,0.359788,0.0,1
udp,192.168.100.149,49338,8.8.8.8,53,2,227,CON,1526980861.914271,20203,0.14716600000000002,0.14716600000000002,0.0,0.14716600000000002,0.14716600000000002,0.14716600000000002,1,1,76,151,6.7950479999999995,0.0,0.0,0
tcp,192.168.100.150,5750.0,192.168.100.6,80.0,5,676,REQ,1528082858.578131,8293,58.92260400000001,0.012262,0.021238999999999997,0.04905,0.0,0.04905,4,1,616,60,0.067886,0.050914,0.0,1
tcp,192.168.100.46,80.0,192.168.100.5,80.0,5520,5167134,CON,1528097482.7129061,48,69.011475,4.918198,0.25801999999999997,68.85476700000001,3.98789,4.993494,5520,0,5167134,0,79.972206,79.972206,0.0,0
udp,192.168.100.149,31204,192.168.100.5,80,8,480,INT,1528085042.424667,37155,24.853788,3.397447,0.15776099999999998,13.589787,3.243723,3.6524620000000003,8,0,480,0,0.281647,0.281647,0.0,1
udp,192.168.100.3,30383.0,192.52.178.30,53.0,2,885,CON,1528081342.360196,253346,0.166953,0.166953,0.0,0.166953,0.166953,0.166953,1,1,82,803,5.98971,0.0,0.0,0
udp,192.168.100.147,39639,192.168.100.7,80,2,120,INT,1528101604.006934,202597,2.770827,2.770827,0.0,2.770827,2.770827,2.770827,2,0,120,0,0.36090300000000003,0.36090300000000003,0.0,1
udp,192.168.100.148,55051.0,144.48.166.166,123,2,180,CON,1526884656.870918,3732,0.016276,0.016276,0.0,0.016276,0.016276,0.016276,1,1,90,90,61.440158999999994,0.0,0.0,0
udp,192.168.100.150,23708,192.168.100.5,80,7,420,INT,1528085636.8809562,56305,20.273394,2.526939,1.458961,10.107755000000001,0.0,3.3816269999999995,7,0,420,0,0.295954,0.295954,0.0,1
tcp,192.168.100.148,9634,192.168.100.3,80,3,274,RST,1528083830.543895,27246,0.151952,0.151952,0.0,0.151952,0.151952,0.151952,2,1,214,60,13.162051000000002,6.581026,0.0,1
tcp,192.168.100.55,8080,192.168.100.3,80,2528,2465780,CON,1528099914.133956,1878,15.837759,3.9502059999999997,1.809723,15.800825,0.815682,4.9990830000000015,1265,1263,1272891,1192889,159.555405,79.809273,79.682991,0
udp,192.168.100.147,26204,192.168.100.7,80,4,240,INT,1528101786.217761,154023,8.250135,2.651839,0.29470799999999997,5.3036769999999995,2.3571310000000003,2.946546,4,0,240,0,0.36363,0.36363,0.0,1
udp,192.168.100.46,80,192.168.100.5,80,74235,69430935,INT,1526879041.416128,2,3535.861572,4.946779,0.223242,3502.319824,0.673707,4.9999910000000005,74235,0,69430935,0,20.9946,20.9946,0.0,0
udp,192.168.100.148,40550.0,116.206.83.243,123,2,180,CON,1528104587.48954,26,0.007118000000000002,0.007118000000000002,0.0,0.007118000000000002,0.007118000000000002,0.007118000000000002,1,1,90,90,140.488892,0.0,0.0,0
udp,192.168.100.148,37799,8.8.8.8,53,2,172,CON,1526981838.044831,9373,0.007312000000000002,0.007312000000000002,0.0,0.007312000000000002,0.007312000000000002,0.007312000000000002,1,1,86,86,136.76148999999998,0.0,0.0,0
udp,192.168.100.3,6987.0,199.7.83.42,53.0,2,1290,CON,1528096611.305355,262166,0.017272,0.017272,0.0,0.017272,0.017272,0.017272,1,1,81,1209,57.897179,0.0,0.0,0
udp,192.168.100.7,50121,192.168.159.152,53,2,176,INT,1526877524.381267,14837,5.0392160000000015,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198444,0.198444,0.0,0
tcp,192.168.100.147,20212.0,192.168.100.3,80.0,6,548,RST,1528083250.541346,173061,25.58625,0.15876300000000002,0.006425,0.317527,0.152338,0.165189,4,2,428,120,0.195417,0.11725,0.039083,1
udp,192.168.100.149,31103,192.168.100.5,80,8,480,INT,1528085042.4185991,37054,24.847770999999998,3.39598,0.15350899999999998,13.583920999999998,3.25094,3.64644,8,0,480,0,0.281715,0.281715,0.0,1
arp,192.168.100.1,0,192.168.100.27,0,4,240,CON,1526981995.458488,995,1857.1623539999998,0.000412,7.5e-05,0.000825,0.000338,0.000487,2,2,120,120,0.001615,0.000538,0.000538,0
tcp,192.168.100.5,0.0,192.168.100.3,0.0,757,539459,CON,1528099842.229027,1563,18.167065,4.52236,0.801805,18.089439000000002,3.133597,4.9877400000000005,757,0,539459,0,41.613766,41.613766,0.0,0
udp,192.168.100.148,29377,192.168.100.3,80,11,660,INT,1528099436.772764,22338,15.02752,4.013547,0.7002430000000001,12.040641,3.023289,4.515849,11,0,660,0,0.665446,0.665446,0.0,1
tcp,192.168.100.148,40312.0,192.168.100.3,80.0,2,308,REQ,1528095735.071791,143532,9.549375999999999,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.104719,0.104719,0.0,1
tcp,192.168.100.147,14942.0,192.168.100.3,80.0,3,462,REQ,1528096377.199397,113956,7.073432,1.813969,1.813969,3.627937,0.0,3.627937,3,0,462,0,0.282748,0.282748,0.0,1
tcp,192.168.100.150,50562.0,192.168.100.5,80.0,2,308,REQ,1528096684.704796,233130,9.178962,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.108945,0.108945,0.0,1
udp,192.168.100.149,43529,192.168.100.5,80,4,240,INT,1528100017.844287,419766,27.193686,0.0,0.0,0.0,0.0,0.0,4,0,240,0,0.11032,0.11032,0.0,1
tcp,192.168.100.148,49923.0,192.168.100.3,80.0,6,548,RST,1528083426.850559,124499,26.869596,0.13781400000000002,0.018711000000000002,0.275629,0.119104,0.156525,4,2,428,120,0.186084,0.11165,0.037217,1
udp,192.168.100.147,53363,192.168.217.2,53,2,172,INT,1526350335.555989,5335,2.499854,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.400023,0.400023,0.0,0
tcp,192.168.100.148,57796.0,192.168.100.3,80.0,7,890,REQ,1528095853.0441642,95033,24.553967999999998,0.047829,0.095658,0.239144,0.0,0.239144,6,1,830,60,0.24436,0.20363299999999998,0.0,1
udp,192.168.100.5,5353.0,224.0.0.251,5353.0,1,87,INT,1526960521.37578,4570,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,0
udp,192.168.100.7,43991,192.168.159.152,53,2,176,INT,1526963476.095715,51003,5.047918,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198101,0.198101,0.0,0
tcp,192.168.100.55,8080,192.168.100.3,80,5922,5771135,CON,1528085740.769952,524,39.428653999999995,4.916409,0.202539,39.331276,4.380594,4.99581,2963,2959,2980770,2790365,150.169983,75.123032,75.02158399999998,0
udp,192.168.100.148,5125.0,192.168.100.5,80.0,4,240,INT,1528100336.881771,60227,9.963743,3.3966220000000003,0.24011,6.7932440000000005,3.15651,3.6367339999999997,4,0,240,0,0.301092,0.301092,0.0,1
udp,192.168.100.149,35660,192.168.217.2,53,1,86,INT,1526354144.521792,7206,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,0,0.0,0.0,0.0,0
udp,192.168.100.3,27330.0,205.251.195.38,53.0,2,480,CON,1526961632.738877,2666,0.235802,0.235802,0.0,0.235802,0.235802,0.235802,1,1,91,389,4.240846,0.0,0.0,0
udp,192.168.100.150,57912,8.8.8.8,53,2,172,CON,1526967365.05063,62327,0.006306,0.006306,0.0,0.006306,0.006306,0.006306,1,1,86,86,158.57913200000004,0.0,0.0,0
udp,192.168.100.7,138,192.168.100.255,138,4,1086,INT,1526345060.836366,104,728.37085,7.7e-05,1.6e-05,0.000154,6.1e-05,9.300000000000001e-05,4,0,1086,0,0.004118999999999999,0.004118999999999999,0.0,0
